category,immigration,Age 15-19,Age 20-24,Age 25-29
"    College, CEGEP or other non-university certificate or diploma",  Non-immigrants,9635,111590,161825
"    College, CEGEP or other non-university certificate or diploma",  Immigrants,1685,20885,36780
"    College, CEGEP or other non-university certificate or diploma",    Immigrants who landed 1980 to 2021,1685,20885,36780
"    College, CEGEP or other non-university certificate or diploma",      Economic immigrants,930,11820,18810
"    College, CEGEP or other non-university certificate or diploma",        Principal applicants,35,2055,5255
"    College, CEGEP or other non-university certificate or diploma",        Secondary applicants,890,9760,13550
"    College, CEGEP or other non-university certificate or diploma",      Immigrants sponsored by family,345,4010,9475
"    College, CEGEP or other non-university certificate or diploma",      Refugees,370,4440,7700
"    College, CEGEP or other non-university certificate or diploma",      Other immigrants,40,620,790
"    College, CEGEP or other non-university certificate or diploma",    Immigrants admitted before 1980,0,0,0
"    College, CEGEP or other non-university certificate or diploma",  Non-permanent residents,1630,23900,13405
"    University certificate, diploma or degree",Total -  Population by immigration status,3255,235415,456475
"    University certificate, diploma or degree",  Non-immigrants,1895,152580,259315
"    University certificate, diploma or degree",  Immigrants,895,47905,130760
"    University certificate, diploma or degree",    Immigrants who landed 1980 to 2021,895,47905,130760
"    University certificate, diploma or degree",      Economic immigrants,650,36000,96230
"    University certificate, diploma or degree",        Principal applicants,10,1905,29810
"    University certificate, diploma or degree",        Secondary applicants,640,34095,66420
"    University certificate, diploma or degree",      Immigrants sponsored by family,90,6085,21090
"    University certificate, diploma or degree",      Refugees,135,5310,12445
"    University certificate, diploma or degree",      Other immigrants,20,515,995
"    University certificate, diploma or degree",    Immigrants admitted before 1980,0,0,0
"    University certificate, diploma or degree",  Non-permanent residents,465,34935,66400
      University certificate or diploma below bachelor level,Total -  Population by immigration status,1785,18925,21540
      University certificate or diploma below bachelor level,  Non-immigrants,1015,9330,10520
      University certificate or diploma below bachelor level,  Immigrants,505,4655,7410
      University certificate or diploma below bachelor level,    Immigrants who landed 1980 to 2021,505,4655,7410
